(Red de Investigacion Renal (REDINREN)|Red de Investigación Renal|Spain
(UCLA)|Universidad Centroccidental Lisandro Alvarado|Venezuela
FLACSO|Faculdade Latino-Americana de Ciências Sociais|Brazil
(UEM)|Universidade Estadual de Maringá|Brazil
(UENF)|Universidade Estadual do Norte Fluminense|Brazil
(UFAL)|Universidade Federal de Alagoas|Brazil
(UFMT)|Universidade Federal do Mato Grosso|Brazil
(UFPB)|Universidade Federal da Paraíba|Brazil
(UFPel)|Universidade Federal de Pelotas|Brazil
(UFRGS|Universidade Federal do Rio Grande do Sul|Brazil
(UFRJ)|Universidade Federal do Rio de Janeiro|Brazil
(UFS)|Universidade Federal de Sergipe|Brazil
(UFV)|Universidade Federal de Viçosa|Brazil
(UNCISAL)|Universidade Estadual de Ciências da Saúde de Alagoas|Brazil
Federal University of Agriculture|Federal University of Agriculture|Nigeria
(Unesp)|Universidade Estadual Paulista|Brazil
University of Agriculture|Federal University of Agriculture|Nigeria
(UNFPA)|Fondo de Población de las Naciones Unidas|Mexico
(UNICAMP)|Universidade Estadual de Campinas|Brazil
(Universidad Nacional de La Plata|Universidad Nacional de La Plata|Argentina
(Universidade Federal Fluminense|Universidade Federal Fluminense|Brazil
(Universität São Paulo|Universidade de São Paulo|Brazil
(UNLP)|Universidad Nacional de La Plata|Argentina
(UNLP) - CONICET|Universidad Nacional de La Plata|Argentina
(UNLPam-CONICET)|Universidad Nacional de La Pampa|Argentina
Fondo de Poblacion de las Naciones Unidas|Fondo de Población de las Naciones Unidas|Mexico
(UNSE)|Universidad Nacional de Santiago del Estero|Argentina
). Universidade Federal do Paraná|Universidade Federal do Paraná|Brazil
, Agência Paulista de Tecnologia dos Agronegócios|Agência Paulista de Tecnologia dos Agronegócios|Brazil
, Embrapa Recursos Genéticos e Biotecnologia|Embrapa Recursos Genéticos e Biotecnologia|Brazil
, Escola Politécnica da Universidade de São Paulo, - SP, Brasi|Universidade de São Paulo|Brazil
